กำลังอ่านข้อมูลจาก MSSQL...
พบข้อมูลทั้งหมด: 47536 รายการ
กำลังนำเข้าข้อมูล...

[102/47536] DB1:I:101 U:0 | DB2:I:101 U:0 
[103/47536] DB1:I:102 U:0 | DB2:I:102 U:0 
[104/47536] DB1:I:103 U:0 | DB2:I:103 U:0 
[105/47536] DB1:I:104 U:0 | DB2:I:104 U:0 
[106/47536] DB1:I:105 U:0 | DB2:I:105 U:0 
[107/47536] DB1:I:106 U:0 | DB2:I:106 U:0 
[108/47536] DB1:I:107 U:0 | DB2:I:107 U:0 
[109/47536] DB1:I:108 U:0 | DB2:I:108 U:0 
[110/47536] DB1:I:109 U:0 | DB2:I:109 U:0 
[111/47536] DB1:I:110 U:0 | DB2:I:110 U:0 
[112/47536] DB1:I:111 U:0 | DB2:I:111 U:0 
[113/47536] DB1:I:112 U:0 | DB2:I:112 U:0 
[114/47536] DB1:I:113 U:0 | DB2:I:113 U:0 
[115/47536] DB1:I:114 U:0 | DB2:I:114 U:0 
[116/47536] DB1:I:115 U:0 | DB2:I:115 U:0 
[117/47536] DB1:I:116 U:0 | DB2:I:116 U:0 
[118/47536] DB1:I:117 U:0 | DB2:I:117 U:0 
[119/47536] DB1:I:118 U:0 | DB2:I:118 U:0 
[120/47536] DB1:I:119 U:0 | DB2:I:119 U:0 
[121/47536] DB1:I:120 U:0 | DB2:I:120 U:0 
[122/47536] DB1:I:121 U:0 | DB2:I:121 U:0 
[123/47536] DB1:I:122 U:0 | DB2:I:122 U:0 
[124/47536] DB1:I:123 U:0 | DB2:I:123 U:0 
[125/47536] DB1:I:124 U:0 | DB2:I:124 U:0 
[126/47536] DB1:I:125 U:0 | DB2:I:125 U:0 
[127/47536] DB1:I:126 U:0 | DB2:I:126 U:0 
[128/47536] DB1:I:127 U:0 | DB2:I:127 U:0 
[129/47536] DB1:I:128 U:0 | DB2:I:128 U:0 
[130/47536] DB1:I:129 U:0 | DB2:I:129 U:0 
[131/47536] DB1:I:130 U:0 | DB2:I:130 U:0 
[132/47536] DB1:I:131 U:0 | DB2:I:131 U:0 
[133/47536] DB1:I:132 U:0 | DB2:I:132 U:0 
[134/47536] DB1:I:133 U:0 | DB2:I:133 U:0 
[135/47536] DB1:I:134 U:0 | DB2:I:134 U:0 
[136/47536] DB1:I:135 U:0 | DB2:I:135 U:0 
[137/47536] DB1:I:136 U:0 | DB2:I:136 U:0 
[138/47536] DB1:I:137 U:0 | DB2:I:137 U:0 
[139/47536] DB1:I:138 U:0 | DB2:I:138 U:0 
[140/47536] DB1:I:139 U:0 | DB2:I:139 U:0 
[141/47536] DB1:I:140 U:0 | DB2:I:140 U:0 
[142/47536] DB1:I:141 U:0 | DB2:I:141 U:0 
[143/47536] DB1:I:142 U:0 | DB2:I:142 U:0 
[144/47536] DB1:I:143 U:0 | DB2:I:143 U:0 
[145/47536] DB1:I:144 U:0 | DB2:I:144 U:0 
[146/47536] DB1:I:145 U:0 | DB2:I:145 U:0 
[147/47536] DB1:I:146 U:0 | DB2:I:146 U:0 
[148/47536] DB1:I:147 U:0 | DB2:I:147 U:0 
[149/47536] DB1:I:148 U:0 | DB2:I:148 U:0 
[150/47536] DB1:I:149 U:0 | DB2:I:149 U:0 
[151/47536] DB1:I:150 U:0 | DB2:I:150 U:0 
[152/47536] DB1:I:151 U:0 | DB2:I:151 U:0 
[153/47536] DB1:I:152 U:0 | DB2:I:152 U:0 
[154/47536] DB1:I:153 U:0 | DB2:I:153 U:0 
[155/47536] DB1:I:154 U:0 | DB2:I:154 U:0 
[156/47536] DB1:I:155 U:0 | DB2:I:155 U:0 
[157/47536] DB1:I:156 U:0 | DB2:I:156 U:0 
[158/47536] DB1:I:157 U:0 | DB2:I:157 U:0 
